loc code,Typical ASPT Class,Typical NTAXA Class,WHPT score,Reported NTAXA,Reported ASPT,Reference NTAXA,Reference ASPT
122676,Good,High,104.7,16,6.54,16.14051131,7.424984345
471,Good,High,88.6,16,5.54,18.33117313,7.389301827
456,Moderate,High,136.2,23,5.92,18.76986458,7.506961414
122619,Good,High,91.4,14,6.53,21.39708532,7.102221847
122609,Poor,Good,123.1,20,6.16,22.66666964,7.013853393
122675,Good,High,120.6,20,6.03,22.93333333,6.740049095
398593,Moderate,High,120.9,20,6.045,18.15450347,7.089197395
122642,Good,High,,,,17.28328849,7.150701401
1540,Good,High,,,,23.79526488,6.855526668
130812,Good,High,,,,15.78487647,7.508144255
320571,Good,High,,,,16.15857452,7.610251554
134701,Moderate,High,,,,18.77333523,7.239236245
114648,Moderate,High,,,,21.33672821,7.15528035
135386,High,High,,,,21.99586846,6.90264019
122772,High,High,,,,22.29860119,7.036070735
123183,Moderate,High,,,,#N/A,#N/A
129912,Moderate,High,,,,#N/A,#N/A
123170,Good,High,,,,#N/A,#N/A
,Moderate,High,,,,#N/A,#N/A
123171,Good,High,,,,16.75218696,7.650430552
134708,Moderate,Poor,50.1,9,5.57,16.65911054,7.461511501
122962,Good,High,119.8,20,5.99,19.45846131,7.053214134
134604,Moderate,High,129.2,22,5.87,19.88212615,6.747689543
122910,Good,High,129.6,20,6.48,20.95575843,7.082171348
9599,High,High,139.8,25,5.59,21.48386111,6.77566502
9602,Good,High,128.3,23,5.58,22.02096875,6.709959379
9631,High,High,107.4,19,5.65,22.78315179,6.76402843
9490,High,High,169.2,27,6.27,23.24201885,6.457441113
122487,Good,High,138.3,21,6.58,18.98135069,7.267909785
122475,High,High,134.6,21,6.41,24.07940774,6.686900835
207274,Good,High,124.7,19,6.56,18.85325843,6.920782352
232926,Good,High,129.4,18,7.19,16.70350865,7.361011408
207120,Good,High,131.5,18,7.31,19.70436607,7.13506456
205682,Good,High,136.2,19,7.17,19.96245337,7.177534611
206993,Good,High,164.2,24,6.84,15.33258972,7.489568152
207298,High,High,157.8,21,7.51,18.28208279,7.250253488
206972,Poor,Poor,113.2,22,5.15,21.12754762,7.38341925
207170,High,High,52.4,12,4.37,17.46004795,7.138125821
207146,Good,High,141.3,20,7.06,17.51249165,7.33429423
207162,Good,High,126.3,20,6.32,18.95293985,7.075827571
460473,High,High,103.4,16,6.46,19.15837847,7.091040921
3472,High,High,112.7,16,7.04,16.78181034,7.378332247
3418,Good,High,106.4,17,6.26,17.91972928,7.403028171
1512,High,High,119.1,17,7.01,18.18794733,7.418435858
1517,High,High,118.7,16,7.42,18.59762853,7.221300727
1584,High,Moderate,119.2,18,6.62,23.80574702,6.658545196
207287,High,High,166,21,7.9,17.79613564,7.434659589
206971,Good,High,,,,18.3965253,7.378126801
206763,High,High,n/a,n/a,n/a,15.2927802,7.435844068
206908,High,High,159.4,22,7.24,18.18096673,7.450828097
206811,Good,High,n/a,n/a,n/a,15.9648071,7.58300368
232746,High,High,,,,13.17739628,7.480302747
206987,Good,High,,,,#N/A,#N/A
337274,Good,High,125.2,18,6.96,17.41958063,7.527430367
122539,Good,High,120.2,19,6.33,18.08308383,7.577674305
320337,High,High,123.7,17,7.28,18.45849117,7.536660452
121225,Poor,Bad,88.9,15,5.93,19.16220116,7.308431373
122575,Good,High,137.6,21,6.55,19.71512599,7.354935131
122530,Good,High,102.2,16,6.39,19.83107963,7.385393352
122534,Good,High,79,12,6.58,19.84192279,7.260990711
122542,Moderate,High,99.1,17,5.83,20.73842848,7.143140495
122541,Moderate,High,109.2,18,6.07,19.48202754,7.324925285
7957,Moderate,High,129.7,21,6.18,17.5346933,7.037872785
7740,High,High,173.1,22,7.87,18.37134781,7.726972575
7814,High,High,157.7,19,8.3,17.69167023,7.875744464
8574,Good,High,143.2,18,7.96,18.72207738,7.564197728
207010,Good,High,106.4,16,6.65,15.18364496,7.72620418
207021,High,High,167.2,22,7.6,18.90489732,7.383063343
207129,High,High,183.8,25,7.352,21.18430952,7.441343406
207029,High,High,218,30,7.27,21.3182659,7.493661853
206717,Good,High,149.3,21,7.11,16.20171085,7.554057742
206910,High,High,148.3,22,6.74,18.00938542,7.471704013
207130,High,High,168.2,22,7.65,20.02011756,7.424680937
R. Spey u/s Carron Bridge,Good,High,144.1,21,6.86,19.74307887,7.274697784
582932,Good,High,125.9,20,6.3,19.67105903,7.521745503
8895,Good,high,134.7,19,7.09,17.58897665,7.331527485
8500,Good,High,82.5,15,5.5,18.08090866,7.369287418
8832,High,High,101,14,7.21,18.18051344,7.49167583
8062,Moderate,Good,70.4,15,5.03,19.37864481,7.2530957
10476,Good,High,137.1,22,6.23,19.54317708,7.311125146
8888,Good,High,176.6,26,6.79,20.61260714,7.248471357
499943,High,High,148.3,19,7.81,17.18469243,7.414340034
7935,Good,High,124.8,19,6.57,17.05710131,7.046180854
7809,Good,High,181.4,24,7.56,19.47491217,7.274398543
7753,High,High,193,26,7.42,24.46869643,7.131794025
7797,Good,High,158.7,25,6.35,21.02583036,6.910279866
7672,High,High,136.6,20,6.83,21.47350198,7.033414693
100690,Good,High,124.1,17,7.3,18.37823657,7.498390832
122053,Moderate,High,74,13,5.69,18.61253623,7.502843083
134757,Moderate,High,131.8,20,6.59,18.95314502,7.035961976
122753,High,High,136.8,18,7.6,20.99799901,7.086269677
4613,Good,Good,53.6,9,5.96,21.05800496,7.084527234
122701,Good,High,105.8,15,7.05,21.34082341,7.184700164
122748,High,High,100.7,15,6.71,21.53697817,6.861641241
122714,Good,High,126,18,7,17.82346752,7.447719408
207255,Good,High,,,,15.33800352,7.132168129
207195,High,High,,,,18.90454712,6.994384398
207432,High,High,80.2,12,6.7,18.94838988,7.334115393
207076,High,High,76.4,10,7.64,15.92809524,7.647698105
666,High,High,171.4,26,6.59,20.47848958,7.107676154
4429,Good,High,112.5,20,5.63,22.71040476,6.655304016
4148,Moderate,Moderate,127.2,21,6.06,18.83386158,7.212537194
4257,High,High,123.5,19,6.5,20.93937252,7.194719122
11113,Good,Good,72.9,12,6.08,16.62093602,6.957556058
3570,Moderate,Moderate,111.6,18,6.2,17.47168257,7.520176247
8243,Moderate,High,81.6,14,5.83,17.84017869,7.25611822
3250,Good,High,116.4,19,6.13,18.70488405,7.235059897
3402,Moderate,Good,40.2,9,4.47,18.81528496,5.898337021
1426,Moderate,High,97,15,6.47,19.03588525,7.405802799
335,High,High,129.8,19,6.83,19.17768006,7.467514163
1412,Good,High,102.8,16,6.43,19.25245833,7.210848316
8211,Moderate,Poor,27.6,6,4.6,19.91441518,7.09506106
2239,High,High,123.9,17,7.29,19.98287698,7.272799743
1615,Good,High,90.2,12,7.52,22.99631209,6.805913995
1604,Good,High,126.8,21,6.04,23.6160248,6.340347582
338805,Good,High,81,14,5.79,19.70071159,7.010796783
207152,Good,High,98,15,6.53,19.73130804,7.178768052
204343,Good,High,106.2,15,7.08,20.13230357,6.998394331
5565,Moderate,High,,,,#N/A,#N/A
474,Good,High,,,,#N/A,#N/A
207374,Moderate,High,,,,#N/A,#N/A
207241,Moderate,High,,,,#N/A,#N/A
457,Moderate,High,,,,#N/A,#N/A
